id,initial_review_count,initial_positive_review_count,initial_negative_review_count,initial_top_critic_review_count,initial_positive_review_ratio,initial_combined_sentiment_score,initial_combined_sentiment_label,log_initial_review_count,first_review_date,last_review_date_in_window
10012014-babies,43,31,12,17,0.7209302325581395,0.4563106796116505,positive,3.784189633918261,2010-05-07,2010-05-11
10012039-lottery_ticket,31,12,19,11,0.3870967741935484,-0.2602739726027397,negative,3.4657359027997265,2010-08-20,2010-08-28
10012042-going_the_distance,70,40,30,18,0.5714285714285714,0.1518987341772152,mixed,4.262679877041316,2010-09-03,2010-09-12
10012044-life_as_we_know_it,52,16,36,15,0.3076923076923077,-0.4285714285714285,negative,3.970291913552122,2010-10-08,2010-10-16
10012051-frozen,23,13,10,13,0.5652173913043478,0.0508474576271186,mixed,3.1780538303479458,2010-02-05,2010-02-08
10012058-prodigal_sons,5,5,0,4,1.0,1.0,positive,1.791759469228055,2010-02-26,2010-03-04
10012063-ghost_writer,12,9,3,0,0.75,0.5,positive,2.5649493574615367,2010-03-19,2010-03-27
10012068-repo_men,60,15,45,16,0.25,-0.5,negative,4.110873864173311,2010-03-19,2010-03-28
10012136-winters_bone,34,31,3,15,0.9117647058823528,0.8313253012048193,positive,3.555348061489413,2010-06-11,2010-06-20
10012141-kids_are_all_right,13,13,0,0,1.0,1.0,positive,2.6390573296152584,2010-07-30,2010-08-07
10012150-high_school,19,2,17,8,0.1052631578947368,-0.8260869565217391,negative,2.995732273553991,2012-06-01,2012-06-08
10012207-stolen,6,0,6,5,0.0,-1.0,negative,1.9459101490553128,2010-03-12,2010-03-18
10012232-killing_jar,3,0,3,3,0.0,-1.0,negative,1.3862943611198906,2010-03-19,2010-03-22
10012254-la_mission,9,5,4,5,0.5555555555555556,0.1304347826086956,mixed,2.302585092994046,2010-04-09,2010-04-15
10012264-stonewall,14,12,2,9,0.8571428571428571,0.7837837837837838,positive,2.70805020110221,2010-06-16,2010-06-25
1001567-bad_news_bears,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1976-04-07,1976-04-07
1002310-big_business,1,0,1,1,0.0,-1.0,negative,0.6931471805599453,1988-06-10,1988-06-10
1002448-birds,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1963-03-28,1963-03-28
1003883-charade,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1963-12-05,1963-12-05
1004151-christmas_story,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1983-11-18,1983-11-18
1005152-damn_yankees,1,0,1,0,0.0,-1.0,negative,0.6931471805599453,1958-09-26,1958-09-26
1005360-day_of_the_dead,1,1,0,1,1.0,1.0,positive,0.6931471805599453,1985-07-03,1985-07-03
1006364-dune,1,0,1,0,0.0,-1.0,negative,0.6931471805599453,1984-12-14,1984-12-14
1007141-fatal_attraction,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1987-09-11,1987-09-11
1007517-flash_gordon,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1980-12-05,1980-12-05
1009027-gullivers_travels,1,0,1,1,0.0,-1.0,negative,0.6931471805599453,1939-12-22,1939-12-22
1009427-heaven_can_wait,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1978-06-28,1978-06-28
100_bloody_acres_2013,8,8,0,4,1.0,1.0,positive,2.19722457733622,2013-06-28,2013-07-03
100_off_a_recession_era_romance,1,1,0,1,1.0,1.0,positive,0.6931471805599453,2012-07-05,2012-07-05
100_streets,6,1,5,1,0.1666666666666666,-0.6923076923076923,negative,1.9459101490553128,2017-01-13,2017-01-18
100_years_of_men_in_love,2,2,0,1,1.0,1.0,positive,1.0986122886681098,2022-03-23,2022-03-31
1013139-maltese_falcon,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1941-10-18,1941-10-18
1014217-moonraker,1,0,1,0,0.0,-1.0,negative,0.6931471805599453,1979-06-29,1979-06-29
1017222-raven,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1963-01-25,1963-01-25
1017346-red_shoes,2,2,0,0,1.0,1.0,positive,1.0986122886681098,1948-09-06,1948-09-06
1018047-sabrina,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1954-09-09,1954-09-09
1019774-stagecoach,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1939-03-02,1939-03-02
1021244-thing,1,1,0,1,1.0,1.0,positive,0.6931471805599453,1982-07-01,1982-07-01
102_not_out,7,3,4,2,0.4285714285714285,0.0,mixed,2.079441541679836,2018-05-04,2018-05-05
1040322-of_mice_and_men,1,1,0,1,1.0,1.0,positive,0.6931471805599453,1992-10-02,1992-10-02
1040379-singles,1,1,0,1,1.0,1.0,positive,0.6931471805599453,1992-09-18,1992-09-18
1042193-scent_of_a_woman,1,1,0,1,1.0,1.0,positive,0.6931471805599453,1992-12-23,1992-12-23
1046129-fugitive,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1993-08-06,1993-08-06
